Version ID	Index	Master ID	Skeletal code	Skeletal element	Year this sample was first published [for a present-day sample it is this version of the sample. missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Representative contact	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	GroupID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 coverage or published (merged data or consensus if not available)	mt haplogroup published	mt haplogroup published reference	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT (Xcontam interval is listed if lower bound is >0.005, "QUESTIONABLE" if lower bound is 0.01-0.02, "QUESTIONABLE_CRITICAL" or "FAIL" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is "QUESTIONABLE"; <0.9 is "QUESTIONABLE_CRITICAL", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is "QUESTIONABLE_CRITICAL/FAIL" if <0.01, "QUESTIONABLE" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are "QUESTIONABLE_CRITICAL" or "FAIL" if <0.03, "QUESTIONABLE" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))	Anatolian	Yamnaya	Mesolithic_HG	PC1	PC2	PC3	PC4
VK102.SG	19381	VK102	Iceland_128; Iceland_HSM-A-128	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	850	115	900-1300 CE	Iceland_Viking.SG	Hofstadir	Iceland	65.61	-17.16	Shotgun	..	4.16	1040003	..	M	..	I1a2a1a1c2~	103.6	..	J1c3f	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.462903569549832	0	0.537096430450168	-43.6337340171803	-22.6098219637526	-17.0594867523625	-10.2966185408651
VK101.SG	19380	VK101	Iceland_125; Iceland_HSM-A-125	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	850	115	900-1300 CE	Iceland_Viking.SG	Hofstadir	Iceland	65.61	-17.16	Shotgun	..	1.93	859770	..	M	..	R1b1a1b1a1a2d1a1	400.6	..	U5b1g	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.207922473176426	0.611618270559126	0.180459256264448	-18.0640394626251	-20.2366556927689	-16.3446050049482	1.30273396259809
R58.SG	15223	R58	VM 09; MON BI; 3550	petrous	2019	AntonioGaoMootsScience2019	Pritchard, Jonathan	Context: Archaeological period	850	231	700-1500 CE	Italy_Medieval_EarlyModern.SG	Villa Magna	Italy	41.6877312	13.0864953	Shotgun	..	1.671458	951916	..	M	n/a (no relatives detected)	R1b1a1b1a1a1c1a	..	H1c3	H1c3	Haplogrep (v2.1.20)	..	..	..	..	..	..	..	-0.009	0.023	None	[0,0.036]	half	..	PASS (literature)	0.648198617443793	0.287446577504369	0.0643548050518381	-29.1326375995061	16.2535748039198	-18.7707366803084	-12.3437932733403
R65.SG	15231	R65	VM 09; MON BII; 4378	petrous	2019	AntonioGaoMootsScience2019	Pritchard, Jonathan	Context: Direct date on individual R64 in same stratigraphic unit	840	23	1070-1150 calCE	Italy_Medieval_EarlyModern.SG	Villa Magna	Italy	41.6877312	13.0864953	Shotgun	..	2.207182	1019653	..	F	n/a (no relatives detected)	..	..	T2b	T2b	Haplogrep (v2.1.20)	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.007	0.018	None	[0,0.028]	half	..	PASS (literature)	0.791982136000792	0	0.208017863999208	-37.8137786364358	18.3360076930822	-24.2773975423385	-5.88699045389142
R64.SG	15230	R64	VM 4342	petrous	2019	AntonioGaoMootsScience2019	Pritchard, Jonathan	Direct (WARNING MISSING LAB CODE AND UNCALIBRATED DATE): Calibration methodology unclear	840	23	1070-1150 calCE	Italy_Medieval_EarlyModern.SG	Villa Magna	Italy	41.6877312	13.0864953	Shotgun	..	2.117161	1030419	..	M	n/a (no relatives detected)	G2a2a1a2a1b1~	..	HV0a	HV0a	Haplogrep (v2.1.20)	..	..	..	..	..	..	..	-0.045	0.027	Model_Misspecified	[0,0.008]	half	..	PASS (literature)	0.752250633945104	0.0491299009719894	0.198619465082907	-36.09555717346	16.0936892427344	-26.8371891011234	-8.74416244175747
VK190.SG	19452	VK190	Greenland late-0996; Greenland_�149_KAL-0996 / skeleton 3, grave unit I	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Direct (WARNING CHECK IF MARINE CORRECTION REQUIRED): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020))	834	51	1035-1211 calCE (919±35 BP, AAR-6146)	Greenland_LateNorse.SG	Eastern Settlement, 149	Greenland	60.55	-45.34	Shotgun	..	6.5	1175563	..	M	..	I1a5~	538	..	K1a+195	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.492962330831984	0	0.507037669168016	-43.9015718466388	-18.891295625704	-14.0633646533442	-9.493857950962
I10897~published	9776	I10897	SJR'17-2099	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	828	52	1040-1214 calCE (910±30 BP, Beta-477258)	Spain_Medieval_published	Catalonia, Girona, Sant Julià de Ramis	Spain	42.0507	2.867	1240K	1	0.104692	114230	46.2	F	n/a (no relatives detected)	..	244.4	I1c	..	..	[0.992,1]	0.131	0.009	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.069	0.032	None	[0.006,0.132]	ds.half	S10897.E1.L1	PASS	0	1	0	61.6290560902032	3.54144161800925	4.37666640545198	-1.286864657953
TSK-A-26~38.SG	13262	TSK-A26	TSK-A26	tooth (molar)	2018	EbenesersdottirScience2018	EbenesersdottirScience2018	Context: Archaeological period	825	43	1050-1200 CE	Iceland_Early_Christian.SG	Skeljastadir	Iceland	64.120291	-19.82087	Shotgun	1	0.398034	350955	..	M	n/a (no relatives detected)	R1a1a1b1a3a1a10~	..	J1b1a1a 	J1b1a1a 	unknown (cannot locate in paper what method they used to determine haplogroups)	..	..	..	..	..	..	..	0.023	0.013	None	[0,0.048]	ds.minus	9_P1	PASS (literature)	0	1	0	55.1139910424541	-14.9206843411292	-9.88221543568902	19.0031545555596
Sunghir6.SG	6235	Sunghir6	Sunghir6	bone	2017	SikoraScience2017	..	Direct (WARNING NEED R_COMBINE): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	822	55	1033-1223 calCE [union of two dates: 1048-1223 calCE (884±23 BP, OxA-31755); 1033-1205 calCE (925±29 BP, OxA-X-2653-36]	Russia_Sunghir_Medieval.SG	Sunghir	Russia	56.17611111	40.5025	Shotgun	..	4.87684	1164717	..	M	n/a (no relatives detected)	I2a1a2b1a1a1a1c	..	W3a1	W3a2	(rCRS; Genbank NC_012920.1)	..	..	..	..	..	..	..	0.092	0.008	Very_High_Contamination	[0.076,0.108]	ds.minus	..	PASS (literature)	0.472941931503654	0	0.527058068496346	-44.8751786130044	-21.3978163275431	-12.6549020758966	-9.27437078125074
VK538.SG	19775	VK538	Italy_Foggia-1249	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	87	1000-1300 CE	Italy_Medieval_o1.SG	Foggia, Cancarro	Italy	41.34	15.26	Shotgun	..	1.2	802813	..	M	..	L1a1b3a	95.5	..	H+16291	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.381239941137692	0.618760058862308	0	-7.43155317702503	6.7041224841362	-16.0773013556129	-11.742580634035
VK537.SG	19774	VK537	Italy_Foggia-1248	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	87	1000-1300 CE	Italy_Medieval_o2.SG	Foggia, Cancarro	Italy	41.34	15.26	Shotgun	..	1.39	842606	..	F	..	..	95.2	..	V	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.525919219792967	0.474080780207033	0	-16.3877875854908	14.6368447284205	-18.9795527828857	-13.9905242685423
VK536.SG	19773	VK536	Italy_Foggia-1240	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	87	1000-1300 CE	Italy_Medieval.SG	Foggia, Cancarro	Italy	41.34	15.26	Shotgun	..	1.04	720746	..	F	..	..	81.9	..	H3h6	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.568032032256193	0.431967967743807	0	-5.90644375691441	22.995387212585	-13.6846148516343	-19.0839932084569
VK388.SG	19628	VK388	Norway_Nordland 253	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	260	700-1600 CE	Norway_Viking.SG	Nor North, Nordland	Norway	68.34	15.66	Shotgun	..	0.98	728242	..	M	..	I1	105.8	..	J1c5	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	-0.407188406432761	-25.8012755549255	-15.2080521290622	2.95649856983102
VK211.SG	19469	VK211	Poland_Cedynia gr. 435	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	87	1000-1300 CE	Poland_Medieval_2.SG	Cedynia	Poland	52.88	14.2	Shotgun	..	0.1	109711	..	M	..	R1b1a1b	108.7	..	W6	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	79.0110192290221	-0.753825871681366	0.392893992449188	8.35184704711796
VK210.SG	19468	VK210	Poland_Krak�w-Zakrz�wek gr. 24	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	800	87	1000-1300 CE	Poland_Medieval_1.SG	Krak�w	Poland	50.04	19.9	Shotgun	..	0.05	51310	..	M	..	I2a1a2	17.7	..	H5e1a1	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	84.8213398757229	-0.828398977938071	1.82731416967161	3.30939062742069
vik~urm160.SG	10207	vik_urm160	vik_urm160	..	2018	KrzewinskaCurrentBiology2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	798	57	1040-1226 calCE (885±35 BP, Ua-22740)	Sweden_Viking.SG	Sigtuna, church 1 (Urmakaren)	Sweden	59.61731	17.72361	Shotgun	..	1.358313	852376	..	M	n/a (no relatives detected)	R1b1a1b1a1a	..	H1q	..	..	..	..	..	..	0.00757	9.265605875	[0.006,0.009]	-0.016	0.005	None	[0,0]	ds.minus	..	PASS (Xcontam=[0.006,0.009])	0.168862909393123	0.523191262546893	0.307945828059983	-20.3790635761476	-29.9222295302969	-16.3167161791843	-0.141557008391002
VK534.SG	19771	VK534	Italy_Foggia-869	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Direct (WARNING CHECK IF MARINE CORRECTION REQUIRED): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020))	766	50	1047-1268 calCE (860±35 BP, LTL-14331A)	Italy_Medieval.SG	Foggia, San Lorenzo	Italy	41.42	15.58	Shotgun	..	1.16	791046	..	M	..	R1b1a1b1a1a2b2b~	88.3	..	H1	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.499988096502417	0.500011903497583	0	-7.89022234777835	16.3994680729609	-20.8811727298724	-16.1467448430172
VK124.SG	19393	VK124	Norway_Trondheim_SK356	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	750	58	1100-1300 CE	Norway_Medieval.SG	Nor Mid, Trondheim	Norway	63.43	10.39	Shotgun	..	0.2	129686	..	F	..	..	25.3	..	H10a1	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	78.0486888438223	-6.73024733350369	-3.60487431183403	16.0764821871021
VK118.SG	19389	VK118	Norway_Trondheim_SK271	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	750	58	1100-1300 CE	Norway_Medieval.SG	Nor Mid, Trondheim	Norway	63.43	10.39	Shotgun	..	6.08	1101155	..	F	..	..	207.7	..	H1bb	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.553845032096552	0	0.446154967903447	-40.8248841364932	-11.198545293712	-13.819215365876	-3.96066768849351
VK117.SG	19388	VK117	Norway_Trondheim_SK328	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	750	58	1100-1300 CE	Norway_Medieval.SG	Nor Mid, Trondheim	Norway	63.43	10.39	Shotgun	..	0.23	243657	..	M	..	R1b1a1b1a1a2	44.1	..	H1a3a	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	56.2023207044808	-11.1489398753257	-8.80578527934706	16.895498307199
VK114.SG	19386	VK114	Norway_Trondheim_SK332	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	750	58	1100-1300 CE	Norway_Medieval.SG	Nor Mid, Trondheim	Norway	63.43	10.39	Shotgun	..	0.16	167356	..	F	..	..	33.2	..	R1a1a	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	66.9914883776025	-8.12039431373577	-6.96438556344832	17.1084159457413
VK113.SG	19385	VK113	Norway_Trondheim_SK223	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	750	58	1100-1300 CE	Norway_Medieval_o.SG	Nor Mid, Trondheim	Norway	63.43	10.39	Shotgun	..	0.12	117791	..	F	..	..	51.2	..	J1b1a1a	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	75.5295772398947	-8.95348625732037	-5.44538708264077	17.4406273294968
I7457	6754	I7457	CEF0010/UEI211	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	750	58	1100-1300 CE	Spain_Muslim_Almohade	Granada, Alhama de Granada, Casa Cuartel Guardia Civil	Spain	37.0010611	-3.9930305	1240K	1	0.601835	497137	..	M	n/a (no relatives detected)	E1b1b1a1b1	201	H3+152	..	..	[0.994,0.999]	0.022	0.417	576	0.013047	2.189055394	[0.001,0.025]	0.03	0.026	None	[0,0.081]	ds.half	S7457.E1.L1	QUESTIONABLE (damage.ds.half=0.022)	0.452485920816642	0.547514079183358	0	-6.28391191785253	13.1899028822135	-7.9638058665779	-10.1489114720518
I12649	10996	I12649	UE 2194	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	750	58	1100-1300 CE	Spain_Islamic	Valencia, Carrer Sagunto 49	Spain	39.4697	-0.3774	1240K	1	0.127492	139515	56.2	M	n/a (no relatives detected)	E1b1b1b1a1	168.5	H13a1a	..	..	[0.992,0.999]	0.1	0.377	65	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.05	0.044	Model_Misspecified	[0,0.036]	ds.half	S12649.E1.L1	PASS	0	1	0	54.47161545022	6.58959756849873	3.89389413489669	-5.65906353854667
I12647	10998	I12647	UE 1996	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	750	58	1100-1300 CE	Spain_Islamic	Valencia, Carrer Sagunto 49	Spain	39.4697	-0.3774	1240K	1	1.043059	619870	49.7	F	n/a (no relatives detected)	..	151.6	H1ak1	..	..	[0.990,1.000]	0.106	0.007	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.018	0.012	None	[0,0.006]	ds.half	S12647.E1.L1	PASS	0.679800245376154	0	0.320199754623846	-37.6914527464294	4.49407533117761	-12.5006638486965	-3.35911216521869
I12644	11020	I12644	UE 1617	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	750	58	1100-1300 CE	Spain_Islamic	Valencia, Carrer Sagunto 49	Spain	39.4697	-0.3774	1240K	1	0.757301	558375	56.6	M	n/a (no relatives detected)	E1b1b1b1a1	212.7	U4a2	..	..	[0.994,1.000]	0.062	0.382	1076	-0.000175	-0.146	[0,0.002]	-0.009	0.02	None	[0,0.03]	ds.half	S12644.E1.L1	PASS	0.572882224021058	0.427117775978942	0	-23.6222048441072	15.2217763473606	-10.5143883855566	-9.16234208265028
I12515	10688	I12515	UE 102	tooth (canine)	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	750	58	1100-1300 CE	Spain_Islamic	Valencian Community, Castelló/Castellón, Betxí, Palau Castell de Betxí	Spain	39.9333	-0.2	1240K	1	0.763485	585408	50.1	M	Spain, Castelló, Palau de Betxí Family A (2 members) (I12514-I12515 are 2nd or 3rd degree relatives)	J2a1a1a2b1b4~	221.6	H3	..	..	[0.991,1.000]	0.109	0.373	1135	0.0057	1.9	[0,0.012]	0.008	0.012	None	[0,0.032]	ds.half	S12515.E1.L1	PASS	0.462865831600528	0.537134168399472	0	-13.3039265681855	10.8088811913895	-9.75811554663143	-9.43405345863191
s19~IIg~1.SG	13286	IIg	AI 5366: matus 151	tooth (molar)	2019	SaagCurrentBiology2019	SaagCurrentBiology2019	Context: Archaeological period	740	17	1180-1240 CE	Estonia_Medieval.SG	Lääne-Viru, Pada, burial 151	Estonia	59.4494	26.7139	Shotgun	..	0.087149	100113	..	M	n/a (no relatives detected)	N1a1a1a1a1a1a1b2~	..	U4a2b	..	..	..	..	..	..	..	..	..	-0.044	0.031	Model_Misspecified	[0,0.017]	ds.minus	..	PASS (literature)	0	1	0	79.4881324848952	-11.1857186877186	-5.13564105199847	19.6801379823269
s19~0LS03~1.SG	13280	0LS03	TÜ 1977: matus 9	tooth (molar)	2019	SaagCurrentBiology2019	SaagCurrentBiology2019	Context: Archaeological period	740	17	1180-1240 CE	Estonia_Medieval.SG	Ida-Viru, Kukruse, burial 9	Estonia	59.3828	27.3639	Shotgun	..	0.059112	69121	..	M	n/a (no relatives detected)	R1a1a1	..	U4d1	..	..	..	..	..	..	..	..	..	-0.006	0.029	None	[0,0.051]	ds.minus	..	PASS (literature)	0	1	0	83.1783415452969	-2.60546687176252	-0.185781045657709	8.06266020485559
R62.SG	15228	R62	VM 4142	petrous	2019	AntonioGaoMootsScience2019	Pritchard, Jonathan	Context: Direct dates from stratigraphic unit	735	49	1130-1300 CE	Italy_Medieval_EarlyModern_oCentralEuropean.SG	Villa Magna	Italy	41.6877312	13.0864953	Shotgun	..	1.819719	962957	..	F	n/a (no relatives detected)	..	..	HV0a	HV0a	Haplogrep (v2.1.20)	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.004	0.023	None	[0,0.049]	half	..	PASS (literature)	0.392918245306323	0.36562262939213	0.241459125301547	-25.7166193896165	-10.8955496653777	-14.8589283202081	-2.54396451396441
VK189.SG	19450	VK189	Greenland late-0992; Greenland_V007_KAL-0992 / skeleton U04	tooth	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Direct (WARNING CHECK IF MARINE CORRECTION REQUIRED): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020))	726	33	1168-1271 calCE (825±33 BP, AAR-5403)	Greenland_LateNorse.SG	Western Settlement, V007	Greenland	64.83	-50.15	Shotgun	..	0.06	54178	..	F	..	..	46.6	..	H54	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	84.9445902547946	-2.44568238615053	-0.956528605247028	6.52119568594013
DA199.SG	7951	DA199	CGG_2_019197, Arkus ‚Äì Koveshalom 5 4 4664, Arkus ‚Äì Koveshalom 5 4 4664	..	2018	DamgaardNature2018	Willerslev, Eske	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	703	19	1216-1280 calCE (788±30 BP, UBA-33601)	Hungary_Medieval.SG	..	Hungary	47.55694444	21.01527778	Shotgun	..	0.476	352195	..	F	n/a (no relatives detected)	..	..	H1ba	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.017	0.012	None	[0,0.041]	ds.minus	..	PASS (literature)	0	1	0	48.1232711669612	-3.1479312583723	-7.58062157472135	10.860422810758
VK541.SG	19779	VK541	Ukraine_Lutsk; Ukraine_Lutsk-1	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Context: Archaeological period	700	29	1200-1300 CE	Ukraine_Medieval.SG	Lutsk	Ukraine	50.74	25.32	Shotgun	..	2.56	1074563	..	M	..	R1a1a1b1a1a1c1j1~	124.5	..	H7	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.476508627532312	0.0415823018302467	0.481909070637441	-35.1153094477196	-18.3617349632914	-16.6815082944223	-6.5766496157501
VK535.SG	19772	VK535	Italy_Foggia-891	petrous	2020	MargaryanWillerslevNature2020	Nielsen, Rasmus; Werge, Thomas; Willerslev, Eske	Direct (WARNING CHECK IF MARINE CORRECTION REQUIRED): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020))	700	21	1215-1288 calCE (775±35 BP, LTL-14332A)	Italy_Medieval.SG	Foggia, San Lorenzo	Italy	41.42	15.58	Shotgun	..	1.24	821010	..	M	..	R1b1a1b1b	116.2	..	T1a5	Haplogrep, KlossBrandst�tterHumMutat2011	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.496962315040786	0.503037684959214	0	-11.7765640071336	14.3506550807786	-18.7173644455241	-15.0168769799009
s19~IIa~1.SG	13284	IIa	AI 4115: matus 16	tooth (molar)	2019	SaagCurrentBiology2019	SaagCurrentBiology2019	Context: Archaeological period	685	20	1230-1300 CE	Estonia_Medieval.SG	Saare, Karja, burial 16	Estonia	58.5033	22.7425	Shotgun	..	0.585605	516698	..	M	n/a (no relatives detected)	N1a1a1a1a1a1~	..	H3h1	..	..	..	..	..	..	..	..	..	0.003	0.014	None	[0,0.03]	ds.minus	..	PASS (literature)	0	1	0	38.460505301511	-27.4583972568622	-12.7508219179191	16.2829717450259
SNN004	15997	SNN004	SSSN 1107Ê	Tooth	2020	MarcusNatureCommunications2020	John Novembre	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	674	10	1261-1295 calCE (737±19 BP, MAMS-39537)	Italy_Sardinia_Medieval	Sassari, SAS, San Nicola Necropoli Esterna	Italy	40.726921	8.558378	1240K	1	0.224702	224957	..	M	n/a (no relatives detected)	R1b1a1b	8.6	J2b1a7	..	..	[0.98,1.00]	0.1081	..	..	0.019	1.2	[0,0.052]	0.016	0.025	None	[0,0.065]	ds.half	SNN004.A0101	PASS (literature)	0	1	0	27.5735281428577	23.5715837819262	6.65298717921284	-21.6295905092984
SNN002	15995	SNN002	SSSN 02 1065	Tooth	2020	MarcusNatureCommunications2020	John Novembre	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	604	31	1297-1396 calCE (627±19 BP, MAMS-39535)	Italy_Sardinia_Medieval	Sassari, SAS, San Nicola Necropoli Esterna	Italy	40.726921	8.558378	1240K	1	0.133827	138309	..	M	n/a (no relatives detected)	R1b1a1b1a1a2	40.9	H1j2a	..	..	[0.98,1.00]	0.1315	..	..	0.014	0.6	[0,0.057]	0.016	0.02	None	[0,0.055]	ds.half	SNN002.A0101	PASS (literature)	0	1	0	57.6323602393206	2.00578951279308	0.102547216513353	3.53812069312798
SNN001	15994	SNN001	SSSN 02 1077	Tooth	2020	MarcusNatureCommunications2020	John Novembre	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	603	29	1302-1398 calCE (615±17 BP, MAMS-39534)	Italy_Sardinia_Medieval	Sassari, SAS, San Nicola Necropoli Esterna	Italy	40.726921	8.558378	1240K	1	0.120681	126467	..	M	n/a (no relatives detected)	E1b1b1a1b1	34.4	U5a1d2a	..	..	[0.98,1.00]	0.1586	..	..	0.034	1	[0,0.101]	-0.035	0.032	Model_Misspecified	[0,0.028]	ds.half	SNN001.A0101	PASS (literature)	0	1	0	58.4328506001791	2.49059640272431	4.29880355865719	-1.01319949822634
